method,s10,s30,s50,worst_cell
Native KEEP,1.5759349951983452,1.7937757826806822,1.8752058827274405,0.0
Best Fixed,1.4876809270585543,1.7022424444860151,1.7375702053347606,0.4477690381883028
R2-CART,1.4590683938909372,1.6938941583827152,1.7573761492920925,0.4147129744326796
Fixed SAITS,1.4585055745786457,1.7383233411820698,1.7626879920780574,0.7099169804836631
TATO,1.6161402557714417,1.9405152410262791,2.0356125604374635,0.7251978835826569
IntroAct-TS,1.4253259226988437,1.6920652332963408,1.7310067907653304,0.4470818101260048
