backbone,policy,mase,mae,total_seconds,mean_tools,task_harm,episodes,parents,status,budget_overruns,comparison_scope,cost_scope
chronos-bolt-base,FIXED_HISTORY_d2_target_horizon_gated_high,1.2001577630546323,3.4644652501697673,0.49221032528602393,1.0,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FIXED_HISTORY_d2_target_horizon_gated_low,1.2001577630546323,3.4644652501697673,0.4922750005266181,1.0,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FIXED_MASK_d2_old32_gated_high,1.1917881634143535,3.4271933545422777,0.2848975285491614,0.6666666666666666,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FIXED_MASK_d2_old32_gated_low,1.1917881634143535,3.4271933545422777,0.2849134063633599,0.6666666666666666,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FIXED_MASK_d2_target_horizon_gated_high,1.1917881634143535,3.4271933545422777,0.28489434372262995,0.6666666666666666,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FIXED_MASK_d2_target_horizon_gated_low,1.1917881634143535,3.4271933545422777,0.28490971202136184,0.6666666666666666,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FLAT_LOSS_TREE_old32,1.1879603575341224,3.34638217104912,0.5865730002731093,2.0,0.275974025974026,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FLAT_LOSS_TREE_same_origin32,1.165232323595202,3.3169963044181783,0.49563576908814216,2.0,0.1688311688311688,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,FLAT_LOSS_TREE_target_horizon,1.165232323595202,3.3169963044181783,0.6625492269169283,2.0,0.1688311688311688,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,OLD_DIRTY_HGB,1.1654136229812138,3.308398914591475,0.15919370813559156,0.0,0.16305916305916304,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,OLD_LEARNED_HGB_COMMON_BUDGET,1.1901121991002297,3.4184542872428114,0.4765883197511331,1.3802308802308803,0.18614718614718612,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,RANDOM_d2_old32_gated_high,1.1969956680849814,3.4486115674775633,0.28662826180170753,0.6002886002886003,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,RANDOM_d2_old32_gated_low,1.1969956680849814,3.4486115674775633,0.2866391546844608,0.6002886002886003,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,RANDOM_d2_target_horizon_gated_high,1.1969956680849814,3.4486115674775633,0.31755091184968165,0.6002886002886003,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,RANDOM_d2_target_horizon_gated_low,1.1969956680849814,3.4486115674775633,0.3175597026617368,0.6002886002886003,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,VISIBLE_CONDITION_d2_old32_gated_high,1.2001577630546323,3.4644652501697673,0.25155340136201787,0.3333333333333333,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,VISIBLE_CONDITION_d2_old32_gated_low,1.2001577630546323,3.4644652501697673,0.2515614853739149,0.3333333333333333,0.16594516594516595,156,26,completed_dev_not_confirmatory,1,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,VISIBLE_CONDITION_d2_target_horizon_gated_high,1.2001577630546323,3.4644652501697673,0.2843611086769567,0.3333333333333333,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,VISIBLE_CONDITION_d2_target_horizon_gated_low,1.2001577630546323,3.4644652501697673,0.2843663631134545,0.3333333333333333,0.16594516594516595,156,26,completed_dev_not_confirmatory,0,shared_five_candidate_pool,measured_batch_components_plus_diagnostic
chronos-bolt-base,TATO_8_OFFICIAL_SPACE_OBSERVED_LINEAR,1.6852272294817197,5.572088439655989,0.7031735468450351,8.0,0.5364357864357864,156,26,completed_dev_not_confirmatory,"{'low': 68, 'high': 0}",native_external_baseline,
timesfm-2.5-200m-pytorch,TIMESFM_FIXED_A0_FFILL,1.1813091236065032,3.220116992574428,0.2002124616648535,0.0,0.5757575757575757,156,26,completed_dev_not_confirmatory,"{'low': 0, 'high': 0}",same_frozen_candidates_second_family,
timesfm-2.5-200m-pytorch,TIMESFM_FIXED_A0_NATIVE,1.1398373923217895,3.0215744818144703,0.20070330991472027,0.0,0.0,156,26,completed_dev_not_confirmatory,"{'low': 0, 'high': 0}",same_frozen_candidates_second_family,
timesfm-2.5-200m-pytorch,TIMESFM_FIXED_A2_SINGLE,1.0961353381648609,2.8786955371273173,0.23001961469490753,0.0,0.4992784992784994,156,26,completed_dev_not_confirmatory,"{'low': 0, 'high': 0}",same_frozen_candidates_second_family,
timesfm-2.5-200m-pytorch,TIMESFM_FIXED_A3_COV,1.1365825928572568,3.1148995821976135,0.23409861947666533,0.0,0.4898989898989899,156,26,completed_dev_not_confirmatory,"{'low': 0, 'high': 0}",same_frozen_candidates_second_family,
timesfm-2.5-200m-pytorch,TIMESFM_FIXED_A4_RIDGE_CONTEXT,1.0909697172470882,2.8394847455345125,0.20369474062713355,0.0,0.18831168831168832,156,26,completed_dev_not_confirmatory,"{'low': 0, 'high': 0}",same_frozen_candidates_second_family,
timesfm-2.5-200m-pytorch,TIMESFM_TATO_8_OFFICIAL_SPACE_OBSERVED_LINEAR,1.5290020612088506,4.546267173908446,1.0239894668414236,8.0,0.5847763347763348,156,26,completed_dev_not_confirmatory,"{'low': 156, 'high': 0}",native_external_baseline,
