family,policy,sources,parents,episodes,mase,mae,total_seconds,tool_count,budget_overruns,switch_gain,wrong_switch_loss,net_gain
bolt,DIRECT_control_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051741430455071,0.0,0,0.0,0.0,0.0
bolt,DIRECT_disagreement_high,3,26,156,1.1467624759091226,3.231109598252305,0.28239302670242167,0.4444444444444445,0,0.014521355833489777,0.004279205765088417,0.01024215006840136
bolt,DIRECT_disagreement_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051777610513904,0.0,0,0.0,0.0,0.0
bolt,DIRECT_equal-cost_high,3,26,156,1.1499677209055852,3.2589873615711498,0.2813737563830236,0.4444444444444445,0,0.019034210320709077,0.011997305248770134,0.007036905071938941
bolt,DIRECT_equal-cost_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051761988395733,0.0,0,0.0,0.0,0.0
bolt,FIXED_A0_FFILL,3,26,156,1.43062948068829,4.5771879667736535,0.09019441743205975,0.0,0,0.007846971371648083,0.28147182608241433,-0.27362485471076625
bolt,FIXED_A3_COV,3,26,156,1.3139825460644514,4.050634815296774,0.12423579432121208,0.0,0,0.026142822401400246,0.18312074248832758,-0.15697792008692732
bolt,FIXED_A4_RIDGE_CONTEXT,3,26,156,1.2145383940222854,3.5381003839784135,0.09291559114688945,0.0,0,0.049702418585041645,0.10723618662980311,-0.05753376804476144
bolt,FIXED_REFERENCE,3,26,156,1.157004625977524,3.2661753557500632,0.12014161026512216,0.0,0,0.0,0.0,0.0
bolt,FIXED_TSICL,3,26,156,1.157004625977524,3.2661753557500632,0.12014161026512216,0.0,0,0.0,0.0,0.0
bolt,FORCE_STOP,3,26,156,1.157004625977524,3.2661753557500632,0.12049915340488322,0.0,0,0.0,0.0,0.0
bolt,HISTORICAL_ARGMAX_H32_high,3,26,156,1.2015689365597275,3.526809927054805,0.22726353752405715,0.4444444444444445,0,0.034784884516887944,0.07934919509909157,-0.044564310582203635
bolt,HISTORICAL_ARGMAX_H32_low,3,26,156,1.2015689365597275,3.526809927054805,0.2272624624595813,0.4444444444444445,0,0.034784884516887944,0.07934919509909157,-0.044564310582203635
bolt,HISTORICAL_ARGMAX_H_high,3,26,156,1.163870545057334,3.340257690341931,0.3071403476332287,0.4444444444444445,0,0.032553832483594024,0.039419751563404264,-0.006865919079810237
bolt,HISTORICAL_ARGMAX_H_low,3,26,156,1.163870545057334,3.340257690341931,0.30713809164500555,0.4444444444444445,0,0.032553832483594024,0.039419751563404264,-0.006865919079810237
bolt,KEEP,3,26,156,1.258453886165966,3.7999273258279778,0.0898799335816715,0.0,0,0.03658303174142942,0.1380322919298714,-0.10144926018844201
bolt,R2_EXISTING_CART,3,26,156,1.1364858873163641,3.215170685926925,0.6579847389161323,2.0,0,0.030023010865951053,0.009504272204791268,0.020518738661159785
bolt,R3_AGENT_high,3,26,156,1.1563507843299543,3.277871415940059,0.28495738932939346,0.4444444444444445,0,0.014191682782249748,0.01353784113468009,0.0006538416475696552
bolt,R3_AGENT_low,3,26,156,1.157004625977524,3.2661753557500632,0.12295635089855084,0.0,0,0.0,0.0,0.0
bolt,R3_FIXED_TOOL_high,3,26,156,1.1563507843299543,3.277871415940059,0.2849457264119331,0.4444444444444445,0,0.014191682782249748,0.01353784113468009,0.0006538416475696552
bolt,R3_FIXED_TOOL_low,3,26,156,1.1531100876484863,3.2919482449607442,0.3144075590551919,0.4444444444444445,0,0.027685191592490735,0.02379065326345309,0.0038945383290376495
bolt,R3_RANDOM_high,3,26,156,1.168930808099627,3.3368471645418203,0.2539471632379227,0.3672438672438673,0,0.012207671188508318,0.024133853310611478,-0.011926182122103154
bolt,R3_RANDOM_low,3,26,156,1.1559626672529741,3.275426887591365,0.22262999173463846,0.28318903318903316,0,0.015949771914958662,0.014907813190408849,0.0010419587245498168
bolt,RESIDUAL_H32_high,3,26,156,1.2043380023826626,3.5406930935415715,0.2278101003088061,0.4444444444444445,0,0.034784884516887944,0.08211826092202644,-0.04733337640513849
