lambda_pair,lambda_ridge,lambda_tree,tau,joint_objective,bolt_mase,timesfm_mase,bolt_keep_rate,timesfm_keep_rate,mean_harmful_loss,non_degenerate,selected
0.0,1.0,0.0,0.6,1.8951532192246527,1.97149331514915,1.8188131233001554,0.30729166666666663,0.14583333333333337,0.04909317750209331,True,False
0.0,1.0,0.0,0.65,1.8954613954862556,1.9707301872915393,1.820192603680972,0.375,0.1953125,0.047249192983636466,True,False
0.0,0.75,0.25,0.5,1.8986889018561293,1.9864517242563642,1.8109260794558943,0.171875,0.10677083333333337,0.0473897572170971,True,False
0.0,0.75,0.25,0.55,1.8995595772325728,1.9881229349915568,1.8109962194735887,0.23697916666666663,0.125,0.046007511424717686,True,False
0.0,0.5,0.5,0.5,1.8998246451353547,1.990319110402765,1.8093301798679444,0.19270833333333337,0.078125,0.04416850113625328,True,False
0.0,0.75,0.25,0.6,1.900662675160526,1.9896671237629038,1.8116582265581482,0.32552083333333337,0.13541666666666663,0.044056911072313756,True,False
0.0,0.75,0.25,0.65,1.9008961627045498,1.9887979068497255,1.812994418559374,0.39583333333333337,0.1796875,0.04170081301047303,True,False
0.0,0.5,0.5,0.55,1.9010584192590936,1.9924337192327781,1.8096831192854088,0.2421875,0.09895833333333337,0.04379268789117527,True,False
0.0,0.5,0.5,0.65,1.9019019413757352,1.9931200922024788,1.8106837905489914,0.40885416666666663,0.15364583333333337,0.04008577151266267,True,False
0.0,0.5,0.5,0.6,1.9022183165822977,1.9941686817853235,1.8102679513792719,0.33333333333333337,0.11458333333333337,0.04196936389939045,True,False
0.5,0.0,0.5,0.5,1.9046654237065983,1.9865315752860806,1.8227992721271162,0.10416666666666663,0.01302083333333337,0.045732081864067894,True,False
0.5,0.0,0.5,0.55,1.906064896875844,1.9895268053121347,1.8226029884395536,0.16927083333333337,0.04166666666666663,0.04489558832742131,True,False
0.5,0.0,0.5,0.65,1.9071526803758094,1.9912864839557507,1.8230188767958682,0.39322916666666663,0.12239583333333337,0.03990065158886041,True,False
0.5,0.0,0.5,0.6,1.9075669920920608,1.9920602204733169,1.8230737637108048,0.30208333333333337,0.07552083333333337,0.04219496931174856,True,False
0.25,0.25,0.5,0.5,1.9108766495790728,1.9923110720506985,1.8294422271074469,0.12760416666666663,0.046875,0.05000219623738106,True,False
0.0,0.25,0.75,0.65,1.912374078447367,1.9763582024535185,1.848389954441216,0.44270833333333337,0.1953125,0.037486062079346794,True,False
0.25,0.25,0.5,0.55,1.9125274109868324,1.9955042708565964,1.8295505511170687,0.1953125,0.05989583333333337,0.049559548701046445,True,False
0.25,0.25,0.5,0.65,1.9134858015091456,1.9968937580848232,1.830077844933468,0.39583333333333337,0.13020833333333337,0.04472968674834803,True,False
0.25,0.25,0.5,0.6,1.9139323126150702,1.9977473565402781,1.8301172686898626,0.3125,0.08333333333333337,0.04700459900993199,True,False
0.25,0.0,0.75,0.65,1.9207498010614388,1.9908461143364644,1.8506534877864131,0.40364583333333337,0.15885416666666663,0.03979433204572794,True,False
0.25,0.0,0.75,0.6,1.9209039562612586,1.9913510999683877,1.8504568125541296,0.31770833333333337,0.12239583333333337,0.04165319707059217,True,False
0.0,0.25,0.75,0.6,1.9230672455216937,1.9980574894571175,1.8480770015862698,0.36979166666666663,0.16145833333333337,0.04096239687022549,True,False
0.25,0.0,0.75,0.5,1.9371074311516747,1.9855523728148794,1.88866248948847,0.1484375,0.05989583333333337,0.04767653553809875,True,False
0.25,0.0,0.75,0.55,1.938769446975011,1.9885437029611923,1.8889951909888294,0.2109375,0.08854166666666663,0.047149062962267674,True,False
0.0,0.25,0.75,0.5,1.9390943097609719,1.9923204874492952,1.8858681320726483,0.21875,0.109375,0.04657632446607979,True,False
0.0,0.25,0.75,0.55,1.9409968675140163,1.9955734407148698,1.886420294313163,0.28125,0.13541666666666663,0.04622623983982858,True,False
0.0,0.0,1.0,0.65,1.9457197700772262,2.0439685438656663,1.847470996288786,0.5677083333333333,0.20052083333333337,0.03719024308472423,True,False
0.0,0.0,1.0,0.6,1.9565648907060478,2.0659595901727337,1.8471701912393619,0.5,0.16666666666666663,0.04070803800405365,True,False
0.0,0.0,1.0,0.5,1.97280112043811,2.060024664106898,1.8855775767693217,0.34114583333333337,0.10677083333333337,0.046701921112071144,True,False
0.0,0.0,1.0,0.55,1.9745685881605857,2.0633437943246524,1.8857933819965187,0.40625,0.13020833333333337,0.04626701144632346,True,False
