family,policy,parents,episodes,mase,mae,total_seconds,tool_count,budget_overruns
bolt,EXISTING_SAME_EVIDENCE_CART,26,156,1.1364858873163641,3.215170685926925,0.6579847389161323,2.0,0
bolt,FIXED_ACQUIRE_CART_high,26,156,1.2148722005477894,3.5516621963194095,0.4723478581431732,0.7777777777777777,0
bolt,FIXED_ACQUIRE_CART_low,26,156,1.1508651466088675,3.28599786913469,0.22605668160299866,0.4444444444444444,0
bolt,FIXED_BOTH_CART_high,26,156,1.1508651466088675,3.28599786913469,0.4355728140277617,0.8888888888888888,0
bolt,FIXED_BOTH_CART_low,26,156,1.157004625977524,3.266175355750063,0.12201540669734239,0.0,0
bolt,FIXED_HISTORY_CART_high,26,156,1.2148722005477894,3.5516621963194095,0.4723316011056311,0.7777777777777777,0
bolt,FIXED_HISTORY_CART_low,26,156,1.157004625977524,3.266175355750063,0.12201706775641634,0.0,0
bolt,FIXED_MASK_CART_high,26,156,1.1508651466088675,3.28599786913469,0.22601191773481996,0.4444444444444444,0
bolt,FIXED_MASK_CART_low,26,156,1.1508651466088675,3.28599786913469,0.22603076029308922,0.4444444444444444,0
bolt,FIXED_REFERENCE,26,156,1.157004625977524,3.266175355750063,0.12014161026512216,0.0,0
bolt,FIXED_TSICL,26,156,1.157004625977524,3.266175355750063,0.12014161026512216,0.0,0
bolt,FORCE_STOP_high,26,156,1.157004625977524,3.266175355750063,0.12202181443687882,0.0,0
bolt,FORCE_STOP_low,26,156,1.157004625977524,3.266175355750063,0.1220290616497105,0.0,0
bolt,KEEP,26,156,1.258453886165966,3.799927325827977,0.08987993358167147,0.0,0
bolt,R2_AGENT_high,26,156,1.157004625977524,3.266175355750063,0.1220433060710922,0.0,0
bolt,R2_AGENT_low,26,156,1.157004625977524,3.266175355750063,0.12215682953099748,0.0,0
timesfm,EXISTING_SAME_EVIDENCE_CART,26,156,1.069086343954356,2.7680418891065544,1.072156038592083,2.0,0
timesfm,FIXED_ACQUIRE_CART_high,26,156,1.0693983307074413,2.768074529386796,0.3405102446521196,0.4444444444444444,0
timesfm,FIXED_ACQUIRE_CART_low,26,156,1.0693983307074413,2.768074529386796,0.3405271793841221,0.4444444444444444,0
timesfm,FIXED_BOTH_CART_high,26,156,1.0693983307074413,2.768074529386796,0.716272200705407,0.8888888888888888,0
timesfm,FIXED_BOTH_CART_low,26,156,1.0961353381648609,2.8786955371273173,0.23203687315769703,0.0,0
timesfm,FIXED_HISTORY_CART_high,26,156,1.069086343954356,2.7680418891065544,0.867257283514078,0.7777777777777777,0
timesfm,FIXED_HISTORY_CART_low,26,156,1.0961353381648609,2.8786955371273173,0.23203889410786402,0.0,0
timesfm,FIXED_MASK_CART_high,26,156,1.0693983307074413,2.768074529386796,0.34050809280326955,0.4444444444444444,0
timesfm,FIXED_MASK_CART_low,26,156,1.0693983307074413,2.768074529386796,0.3405127051885039,0.4444444444444444,0
timesfm,FIXED_REFERENCE,26,156,1.0961353381648609,2.8786955371273173,0.23001961469490753,0.0,0
timesfm,FIXED_TSICL,26,156,1.0961353381648609,2.8786955371273173,0.23001961469490753,0.0,0
timesfm,FORCE_STOP_high,26,156,1.0961353381648609,2.8786955371273173,0.23203970993322187,0.0,0
timesfm,FORCE_STOP_low,26,156,1.0961353381648609,2.8786955371273173,0.23205121268143258,0.0,0
timesfm,KEEP,26,156,1.1398373923217895,3.0215744818144703,0.20070330991472027,0.0,0
timesfm,R2_AGENT_high,26,156,1.0693983307074413,2.768074529386796,0.34054191108025716,0.4444444444444444,0
timesfm,R2_AGENT_low,26,156,1.0693983307074413,2.768074529386796,0.34066196349014116,0.4444444444444444,0
bolt,TATO_8_NATIVE_SPACE,26,156,1.6852272294817197,5.572088439655989,0.7031735468450351,8,0
timesfm,TATO_8_NATIVE_SPACE,26,156,1.5290020612088506,4.546267173908446,1.0239894668414236,8,0
