config,learner,alpha,tau,joint_objective,bolt_mase,timesfm_mase,bolt_keep_rate,timesfm_keep_rate,mean_harmful_loss,non_degenerate,selected
L3_LINEAR_TREE_ENSEMBLE[a=0.5],L3_LINEAR_TREE_ENSEMBLE,0.5,0.6,1.900960650054308,1.993628111868882,1.808293188239734,0.21614583333333337,0.06510416666666663,0.048856978886089544,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.5],L3_LINEAR_TREE_ENSEMBLE,0.5,0.65,1.9010659182896825,1.9938141742522748,1.80831766232709,0.32552083333333337,0.14322916666666663,0.04632048378593005,True,False
L2_PAIRWISE_HIST_GB,L2_PAIRWISE_HIST_GB,,0.5,1.904264343544046,1.9942688449527783,1.814259842135314,0.02864583333333337,0.03385416666666663,0.05440483645108379,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0],L3_LINEAR_TREE_ENSEMBLE,0.0,0.5,1.904264343544046,1.9942688449527783,1.814259842135314,0.02864583333333337,0.03385416666666663,0.05440483645108379,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.25],L3_LINEAR_TREE_ENSEMBLE,0.25,0.5,1.9045056285395932,1.993823944728144,1.8151873123510425,0.03125,0.015625,0.055283590698750835,True,False
L2_PAIRWISE_HIST_GB,L2_PAIRWISE_HIST_GB,,0.55,1.9054199212320295,1.996589946269791,1.8142498961942681,0.08333333333333337,0.05989583333333337,0.05382374310862917,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0],L3_LINEAR_TREE_ENSEMBLE,0.0,0.55,1.9054199212320295,1.996589946269791,1.8142498961942681,0.08333333333333337,0.05989583333333337,0.05382374310862917,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.25],L3_LINEAR_TREE_ENSEMBLE,0.25,0.55,1.905572193801568,1.9960901357369725,1.8150542518661634,0.08854166666666663,0.03385416666666663,0.05487841689495873,True,False
L2_PAIRWISE_HIST_GB,L2_PAIRWISE_HIST_GB,,0.65,1.9056619512723896,1.9952001957072034,1.8161237068375757,0.35416666666666663,0.1953125,0.04568078959623472,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0],L3_LINEAR_TREE_ENSEMBLE,0.0,0.65,1.9056619512723896,1.9952001957072034,1.8161237068375757,0.35416666666666663,0.1953125,0.04568078959623472,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.25],L3_LINEAR_TREE_ENSEMBLE,0.25,0.6,1.9082765440154819,2.0008621647574234,1.8156909232735403,0.2265625,0.08333333333333337,0.05274342079076399,True,False
L2_PAIRWISE_HIST_GB,L2_PAIRWISE_HIST_GB,,0.6,1.9090415636698665,1.9988484557737884,1.8192346715659446,0.2109375,0.09114583333333337,0.05233315983420971,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0],L3_LINEAR_TREE_ENSEMBLE,0.0,0.6,1.9090415636698665,1.9988484557737884,1.8192346715659446,0.2109375,0.09114583333333337,0.05233315983420971,True,False
